rank,title,singer,album
67,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에
68,해요 (2022),#안녕,해요 (2022)
69,Shut Down,BLACKPINK,BORN PINK
70,STAY,The Kid LAROI,Stay
71,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
72,Monologue,테이,Monologue
73,취중고백,김민석 (멜로망스),취중고백
74,Pink Venom,BLACKPINK,BORN PINK
75,ELEVEN,IVE (아이브),ELEVEN
76,Set Me Free Pt.2,지민,FACE
77,내가 아니라도,주호,내가 아니라도
78,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
79,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
80,나비무덤,포맨 (4MEN),나비무덤
81,TOMBOY,(여자)아이들,I NEVER DIE
82,해금,Agust D,D-DAY
83,그라데이션,10CM,5.3
84,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
85,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
86,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
87,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
88,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
89,Say My Name,Say Yes!,BOYS PLANET - ARTIST BATTLE
90,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
91,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
92,결국엔 너에게 닿아서,WSG워너비 (가야G),결국엔 너에게 닿아서
93,Kiss,NCT 도재정,Perfume - The 1st Mini Album
94,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
95,다시 사랑한다면,한동근,다시 사랑한다면
96,나의 마음에 (Seed),태양,Down to Earth
97,"Young, Dumb, Stupid",NMIXX,expérgo
98,후유증 (Can We Go Back),NCT 도재정,Perfume - The 1st Mini Album
99,Unholy,Sam Smith,Gloria
100,Off My Face,Justin Bieber,Justice (The Complete Edition)
